1,4,7,8,13,17,18,78
39,Bachelors,Adm-clerical,Not-in-family,40,39 Adm-clerical,39 Not-in-family,Adm-clerical Not-in-family
50,Bachelors,Exec-managerial,Husband,13,50 Exec-managerial,50 Husband,Exec-managerial Husband
38,HS-grad,Handlers-cleaners,Not-in-family,40,38 Handlers-cleaners,38 Not-in-family,Handlers-cleaners Not-in-family
53,11th,Handlers-cleaners,Husband,40,53 Handlers-cleaners,53 Husband,Handlers-cleaners Husband
28,Bachelors,Prof-specialty,Wife,40,28 Prof-specialty,28 Wife,Prof-specialty Wife
37,Masters,Exec-managerial,Wife,40,37 Exec-managerial,37 Wife,Exec-managerial Wife
49,9th,Other-service,Not-in-family,16,49 Other-service,49 Not-in-family,Other-service Not-in-family
52,HS-grad,Exec-managerial,Husband,45,52 Exec-managerial,52 Husband,Exec-managerial Husband
31,Masters,Prof-specialty,Not-in-family,50,31 Prof-specialty,31 Not-in-family,Prof-specialty Not-in-family
42,Bachelors,Exec-managerial,Husband,40,42 Exec-managerial,42 Husband,Exec-managerial Husband
37,Some-college,Exec-managerial,Husband,80,37 Exec-managerial,37 Husband,Exec-managerial Husband
30,Bachelors,Prof-specialty,Husband,40,30 Prof-specialty,30 Husband,Prof-specialty Husband
23,Bachelors,Adm-clerical,Own-child,30,23 Adm-clerical,23 Own-child,Adm-clerical Own-child
32,Assoc-acdm,Sales,Not-in-family,50,32 Sales,32 Not-in-family,Sales Not-in-family
40,Assoc-voc,Craft-repair,Husband,40,40 Craft-repair,40 Husband,Craft-repair Husband
34,7th-8th,Transport-moving,Husband,45,34 Transport-moving,34 Husband,Transport-moving Husband
25,HS-grad,Farming-fishing,Own-child,35,25 Farming-fishing,25 Own-child,Farming-fishing Own-child
32,HS-grad,Machine-op-inspct,Unmarried,40,32 Machine-op-inspct,32 Unmarried,Machine-op-inspct Unmarried
38,11th,Sales,Husband,50,38 Sales,38 Husband,Sales Husband
43,Masters,Exec-managerial,Unmarried,45,43 Exec-managerial,43 Unmarried,Exec-managerial Unmarried
40,Doctorate,Prof-specialty,Husband,60,40 Prof-specialty,40 Husband,Prof-specialty Husband
54,HS-grad,Other-service,Unmarried,20,54 Other-service,54 Unmarried,Other-service Unmarried
35,9th,Farming-fishing,Husband,40,35 Farming-fishing,35 Husband,Farming-fishing Husband
43,11th,Transport-moving,Husband,40,43 Transport-moving,43 Husband,Transport-moving Husband
59,HS-grad,Tech-support,Unmarried,40,59 Tech-support,59 Unmarried,Tech-support Unmarried
56,Bachelors,Tech-support,Husband,40,56 Tech-support,56 Husband,Tech-support Husband
19,HS-grad,Craft-repair,Own-child,40,19 Craft-repair,19 Own-child,Craft-repair Own-child
54,Some-college,noValueSetHere123156456,Husband,60,54 noValueSetHere123156456,54 Husband,noValueSetHere123156456 Husband
39,HS-grad,Exec-managerial,Not-in-family,80,39 Exec-managerial,39 Not-in-family,Exec-managerial Not-in-family
49,HS-grad,Craft-repair,Husband,40,49 Craft-repair,49 Husband,Craft-repair Husband
23,Assoc-acdm,Protective-serv,Not-in-family,52,23 Protective-serv,23 Not-in-family,Protective-serv Not-in-family
20,Some-college,Sales,Own-child,44,20 Sales,20 Own-child,Sales Own-child
45,Bachelors,Exec-managerial,Own-child,40,45 Exec-managerial,45 Own-child,Exec-managerial Own-child
30,Some-college,Adm-clerical,Own-child,40,30 Adm-clerical,30 Own-child,Adm-clerical Own-child
22,Some-college,Other-service,Husband,15,22 Other-service,22 Husband,Other-service Husband
48,11th,Machine-op-inspct,Unmarried,40,48 Machine-op-inspct,48 Unmarried,Machine-op-inspct Unmarried
21,Some-college,Machine-op-inspct,Own-child,40,21 Machine-op-inspct,21 Own-child,Machine-op-inspct Own-child
19,HS-grad,Adm-clerical,Wife,25,19 Adm-clerical,19 Wife,Adm-clerical Wife
31,Some-college,Sales,Husband,38,31 Sales,31 Husband,Sales Husband
48,Assoc-acdm,Prof-specialty,Husband,40,48 Prof-specialty,48 Husband,Prof-specialty Husband
31,9th,Machine-op-inspct,Husband,43,31 Machine-op-inspct,31 Husband,Machine-op-inspct Husband
53,Bachelors,Prof-specialty,Husband,40,53 Prof-specialty,53 Husband,Prof-specialty Husband
24,Bachelors,Tech-support,Husband,50,24 Tech-support,24 Husband,Tech-support Husband
49,HS-grad,Adm-clerical,Unmarried,40,49 Adm-clerical,49 Unmarried,Adm-clerical Unmarried
25,HS-grad,Handlers-cleaners,Not-in-family,35,25 Handlers-cleaners,25 Not-in-family,Handlers-cleaners Not-in-family
57,Bachelors,Prof-specialty,Husband,40,57 Prof-specialty,57 Husband,Prof-specialty Husband
53,HS-grad,Machine-op-inspct,Husband,38,53 Machine-op-inspct,53 Husband,Machine-op-inspct Husband
44,Masters,Exec-managerial,Unmarried,40,44 Exec-managerial,44 Unmarried,Exec-managerial Unmarried
41,Assoc-voc,Craft-repair,Husband,40,41 Craft-repair,41 Husband,Craft-repair Husband
29,Assoc-voc,Prof-specialty,Not-in-family,43,29 Prof-specialty,29 Not-in-family,Prof-specialty Not-in-family
25,Some-college,Exec-managerial,Wife,40,25 Exec-managerial,25 Wife,Exec-managerial Wife
18,HS-grad,Other-service,Own-child,30,18 Other-service,18 Own-child,Other-service Own-child
47,Prof-school,Prof-specialty,Wife,60,47 Prof-specialty,47 Wife,Prof-specialty Wife
50,Bachelors,Exec-managerial,Not-in-family,55,50 Exec-managerial,50 Not-in-family,Exec-managerial Not-in-family
47,HS-grad,Exec-managerial,Not-in-family,60,47 Exec-managerial,47 Not-in-family,Exec-managerial Not-in-family
43,Some-college,Tech-support,Husband,40,43 Tech-support,43 Husband,Tech-support Husband
46,5th-6th,Machine-op-inspct,Husband,40,46 Machine-op-inspct,46 Husband,Machine-op-inspct Husband
35,Assoc-voc,Other-service,Husband,40,35 Other-service,35 Husband,Other-service Husband
41,HS-grad,Adm-clerical,Husband,48,41 Adm-clerical,41 Husband,Adm-clerical Husband
30,HS-grad,Machine-op-inspct,Husband,40,30 Machine-op-inspct,30 Husband,Machine-op-inspct Husband
30,Bachelors,Sales,Husband,40,30 Sales,30 Husband,Sales Husband
32,7th-8th,noValueSetHere123156456,Not-in-family,40,32 noValueSetHere123156456,32 Not-in-family,noValueSetHere123156456 Not-in-family
48,HS-grad,Transport-moving,Husband,40,48 Transport-moving,48 Husband,Transport-moving Husband
42,Doctorate,Prof-specialty,Husband,45,42 Prof-specialty,42 Husband,Prof-specialty Husband
29,Some-college,Tech-support,Not-in-family,58,29 Tech-support,29 Not-in-family,Tech-support Not-in-family
36,HS-grad,Craft-repair,Husband,40,36 Craft-repair,36 Husband,Craft-repair Husband
